combo,row-columndirection,w1,w2,w3,w4
1,1horizontal,0,1,2,3
2,1horizontal,1,2,3,4
3,1horizontal,2,3,4,5
4,1horizontal,3,4,5,6
5,2horizontal,7,8,9,10
6,2horizontal,8,9,10,11
7,2horizontal,9,10,11,12
8,2horizontal,10,11,12,13
9,3horizontal,14,15,16,17
10,3horizontal,15,16,17,18
11,3horizontal,16,17,18,19
12,3horizontal,17,18,19,20
13,4horizontal,21,22,23,24
14,4horizontal,22,23,24,25
15,4horizontal,23,24,25,26
16,4horizontal,24,25,26,27
17,5horizontal,28,29,30,31
18,5horizontal,29,30,31,32
19,5horizontal,30,31,32,33
20,5horizontal,31,32,33,34
21,6horizontal,35,36,37,38
22,6horizontal,36,37,38,39
23,6horizontal,37,38,39,40
24,6horizontal,38,39,40,41
25,1vertical,0,7,14,21
26,1vertical,7,14,21,28
27,1vertical,14,21,28,35
28,2vertical,1,8,15,22
29,2vertical,8,15,22,29
30,2vertical,15,22,29,36
31,3vertical,2,9,16,23
32,3vertical,9,16,23,30
33,3vertical,16,23,30,37
34,4vertical,3,10,17,24
35,4vertical,10,17,24,31
36,4vertical,17,24,31,38
37,5vertical,4,11,18,25
38,5vertical,11,18,25,32
39,5vertical,18,25,32,39
40,6vertical,5,12,19,26
41,6vertical,12,19,26,33
42,6vertical,19,26,33,40
43,7vertical,6,13,20,27
44,7vertical,13,20,27,34
45,7vertical,20,27,34,41
46,1diagnol-left,14,22,30,38
47,2diagnol-left,7,15,23,31
48,2diagnol-left,15,23,31,39
49,3diagnol-left,0,8,16,24
50,3diagnol-left,8,16,24,32
51,3diagnol-left,16,24,32,40
52,4diagnol-left,1,9,17,25
53,4diagnol-left,9,17,25,33
54,4diagnol-left,17,25,33,41
55,5diagnol-left,2,10,18,26
56,5diagnol-left,10,18,26,34
57,6diagnol-left,3,11,19,27
58,1diagnol-right,20,26,32,38
59,2diagnol-right,13,19,25,31
60,2diagnol-right,19,25,31,37
61,3diagnol-right,6,12,18,24
62,3diagnol-right,12,18,24,30
63,3diagnol-right,18,24,30,36
64,4diagnol-right,5,11,17,23
65,4diagnol-right,11,17,23,29
66,4diagnol-right,17,23,29,35
67,5diagnol-right,4,10,16,22
68,5diagnol-right,10,16,22,28
69,6diagnol-right,3,9,15,21
